Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brunei Darussalam,BRN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,29.3,30.3,33.9,42.6,42.4,46.3,47.7,79.4,107.3,126.1,185.9,177.5,216.9
Bhutan,BTN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,8.4,5.5,15.9,8.1,6.1,12.1,17.2,17.3,18,29.3,27.8,23.9,40.2
Botswana,BWA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1,121.2,115.3,178.6,139.2,151,134.9,154.2,160.5,156.6,180.9,200,167.4,226.6
Central African Republic,CAF,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,8.6,9.6,13.4,8.3,9.5,10.1,14.3,13.3,10.5,11.8,18.7,13.6,28.9
Canada,CAN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37695.5,41624.3,47087.7,49258.8,52326.3,53416.3,55541,56734.1,57925.7,60130.9,60611.1,61539.4,60496.4,57355.8
Central Europe and the Baltics,CEB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39429,43153.5,49540.6,52145.5,57474.8,64670.1,67670.6,72531,77039.9,80192.3,82969.8,86565.7,89115,85642.6
Switzerland,CHE,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12848.2,13992.8,15384.7,16385.4,16922.5,17438,18094.8,18944,19932.9,21200.9,21877.8,22502,21884.1,21127.6
Channel Islands,CHI,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.5,2284.4,2513.5,3122.3,3401,3909.1,4162.5,4314.1,4718.3,5256,5358.3,6182.4,6515.1,6745.9
China,CHN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86621.4,119754.6,164747.4,189759.8,215700.4,249972.9,290330.2,316915.3,334045,332082.1,362972.9,393962.7,411268.1,426165.3
Cote d'Ivoire,CIV,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.1,108.8,101.7,99.4,129.2,170.6,155.3,155.8,183.8,192,164.8,186.5,194.2,177.5
Cameroon,CMR,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.9,216.8,275.9,314.6,343.5,328.5,359.4,377.6,438,459.4,526.5,618.4,635.3,670.1
"Congo, Dem. Rep.",COD,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,15.5,26.8,25.6,36,39.1,42.9,54.9,50,78.9,84.3,120,131.3,112.8
